TRACKINGNUMBER,ORDERNUMBER,DATE,RECEIVER,COST,WEIGHT,RECEIVERORDERNUMBER
1Z9842480340695642,318045,,,,,
1Z9842480340363367,318096,,,,,
1Z9842480341165570,318095,,,,,
1Z9842480342100388,318101,,,,,
1Z9842486842123796,317499-1,,,,,
1Z9842480340551805,317473,,,,,
1Z9842480340660410,317474-1,,,,,
1Z9842480341285628,317889-1,,,,,
1Z9842480340423435,318111,,,,,
1Z9842480240620858,318114,,,,,
1Z9842480341872467,318124,,,,,
1Z9842480340220672,317221-2,,,,,
1Z9842480341461482,317673-1,,,,,
1Z9842480342150897,317575-1,,,,,
1Z9842480342204909,316768-2,,,,,
1Z9842480342204909,316768-2,,,,,
1Z9842480342110877,,,,,,
1Z9842480342763681,318127,,,,,
1Z9842480340585092,318126,,,,,
1Z9842480342691106,318135,,,,,
1Z9842480341945978,318072,,,,,
1Z9842480341945978,318072,,,,,
1Z9842480341945978,318072,,,,,
1Z9842480341945978,318072,,,,,
1Z9842480341945978,318071,,,,,
1Z9842480341945978,317729-2,,,,,
1Z9842480341945978,318072-1,,,,,
1Z9842480341945978,318071-1,,,,,
1Z9842480341945978,316827-4,,,,,
1Z9842480341945978,315909-6,,,,,
1Z9842480341945978,316826-3,,,,,
1Z9842480341945978,317728-1,,,,,
1Z9842480341945978,317218-3,,,,,
1Z9842480340417308,318188,,,,,
1Z9842480341455917,318142,,,,,
1Z9842480341811120,318144,,,,,
1Z9842480342478936,317960,,,,,
1Z9842480341215346,318189,,,,,
1Z9842480342136359,318190,,,,,
1Z9842480341317969,318182,,,,,
1Z9842480342396177,318221,,,,,
1Z9842480340041320,318259,,,,,
1Z9842480342521138,317083-1,,,,,
1Z9842480342021473,318283,,,,,
1Z9842480340311529,318123,,,,,
1Z9842480341003333,318290,,,,,
1Z9842480341203742,318285,,,,,
1Z9842480241428752,318284,,,,,
1Z9842480240154362,318295,,,,,
1Z9842480340416578,318301,,,,,
1Z9842480341411384,314910-2,,,,,
1Z9842480342094798,315715-1,,,,,
1Z9842480341782804,316310-1,,,,,
